NAZEV,OKRES,KRAJ
Drnek,Kladno,Středočeský kraj
Drnholec,Břeclav,Jihomoravský kraj
Drnovice,Zlín,Zlínský kraj
Drnovice,Vyškov,Jihomoravský kraj
Drnovice,Blansko,Jihomoravský kraj
Drobovice,Kutná Hora,Středočeský kraj
Droužetice,Strakonice,Jihočeský kraj
Droužkovice,Chomutov,Ústecký kraj
Drozdov,Beroun,Středočeský kraj
Drozdov,Šumperk,Olomoucký kraj
Drslavice,Uherské Hradiště,Zlínský kraj
Drslavice,Prachatice,Jihočeský kraj
Druhanov,Havlíčkův Brod,Kraj Vysočina
Drunče,Jindřichův Hradec,Jihočeský kraj
